gene_id,Mmus_C57-6J_EYE_FLT_Rep1_M23,Mmus_C57-6J_EYE_GC_Rep1_M33
ENSMUSG00000004356,2107,1597
ENSMUSG00000004359,1,0
ENSMUSG00000004360,947,529
ENSMUSG00000004364,12594,8923
ENSMUSG00000004366,95,29
ENSMUSG00000004371,6,5
ENSMUSG00000004383,2486,1942
ENSMUSG00000004393,1163,994
ENSMUSG00000004394,2311,1940
ENSMUSG00000004415,98,30
ENSMUSG00000004446,180,178
ENSMUSG00000004451,998,910
ENSMUSG00000004455,12563,10040
ENSMUSG00000004460,2286,2061
ENSMUSG00000004462,662,456
ENSMUSG00000004473,524,761
ENSMUSG00000004500,889,801
ENSMUSG00000004508,1290,1100
ENSMUSG00000004530,7701,6592
ENSMUSG00000004535,14763,11536
ENSMUSG00000004540,2,7
ENSMUSG00000004542,0,0
ENSMUSG00000004552,58,0
ENSMUSG00000004558,5947,4174
ENSMUSG00000004561,441,293
ENSMUSG00000004562,1315,1402
ENSMUSG00000004565,1399,1112
ENSMUSG00000004567,1429,1180
ENSMUSG00000004568,4500,3344
ENSMUSG00000004591,4584,3662
ENSMUSG00000004609,178,176
ENSMUSG00000004610,1693,1518
ENSMUSG00000004612,6,8
ENSMUSG00000004626,1562,1138
ENSMUSG00000004630,1595,1197
ENSMUSG00000004631,937,866
ENSMUSG00000004633,844,727
ENSMUSG00000004637,1368,1134
ENSMUSG00000004642,838,707
ENSMUSG00000004651,3346,3732
ENSMUSG00000004654,0,0
ENSMUSG00000004655,9410,10350
ENSMUSG00000004661,1266,939
ENSMUSG00000004665,1751,1831
ENSMUSG00000004667,1605,1476
ENSMUSG00000004668,411,284
ENSMUSG00000004677,2403,1598
ENSMUSG00000004698,3588,2351
ENSMUSG00000004707,51,60
ENSMUSG00000004709,10,14
ENSMUSG00000004730,356,503
ENSMUSG00000004748,886,711
ENSMUSG00000004768,938,840
ENSMUSG00000004771,4226,3183
ENSMUSG00000004788,916,732
ENSMUSG00000004789,3885,3255
ENSMUSG00000004791,234,280
ENSMUSG00000004798,3641,2754
ENSMUSG00000004814,11,11
ENSMUSG00000004815,486,357
ENSMUSG00000004821,0,0
ENSMUSG00000004837,72,58
ENSMUSG00000004842,0,0
ENSMUSG00000004843,2511,1817
ENSMUSG00000004846,1126,1116
ENSMUSG00000004849,1022,820
ENSMUSG00000004864,377,271
ENSMUSG00000004865,2507,1939
ENSMUSG00000004872,127,113
ENSMUSG00000004880,1924,1540
ENSMUSG00000004885,63,65
ENSMUSG00000004891,956,906
ENSMUSG00000004892,122,84
ENSMUSG00000004894,0,1
ENSMUSG00000004895,2075,1994
ENSMUSG00000004896,612,361
ENSMUSG00000004897,6913,5699
ENSMUSG00000004902,11,11
ENSMUSG00000004929,849,714
ENSMUSG00000004931,1072,988
ENSMUSG00000004933,171,126
ENSMUSG00000004934,897,773
ENSMUSG00000004936,3485,2922
ENSMUSG00000004937,3276,2811
ENSMUSG00000004939,27,18
ENSMUSG00000004945,1211,1013
ENSMUSG00000004947,859,717
ENSMUSG00000004948,0,0
ENSMUSG00000004951,14076,17792
ENSMUSG00000004952,519,443
ENSMUSG00000004961,324,269
ENSMUSG00000004980,16745,12165
ENSMUSG00000004988,17,42
ENSMUSG00000004994,292,187
ENSMUSG00000004996,364,342
ENSMUSG00000005034,6986,5624
ENSMUSG00000005043,1080,1010
ENSMUSG00000005045,3521,2766
ENSMUSG00000005054,1667,1253
ENSMUSG00000005057,77,91
ENSMUSG00000005069,1636,1281
ENSMUSG00000005078,1332,1016
ENSMUSG00000005087,10330,9038
ENSMUSG00000005089,22856,17843
